# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;59;1416389648;16021064;248503360;93.94;123160;42551596;210213504;77.03
axle;60;1416389708;13127852;251396572;95.04;123268;42759044;212879444;78.00
axle;60;1416389768;13449988;251074436;94.92;123376;42617256;212735644;77.95
axle;60;1416389828;16448912;248075512;93.78;123492;42661540;209663736;76.83
axle;60;1416389888;12245380;252279044;95.37;123604;42684628;213988244;78.41
axle;60;1416389948;16839844;247684580;93.63;123704;42723976;209186068;76.65
axle;60;1416390008;16453860;248070564;93.78;123820;43005740;209326276;76.70
axle;60;1416390068;15145876;249378548;94.27;123944;42822296;211034904;77.33
axle;60;1416390128;18231148;246293276;93.11;124036;43168660;207491792;76.03
