# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416388984;0.00;822.52;204663.34;0.00;151450.15;0.00;0.00;0.00;0.00
axle;60;1416389044;0.00;269.94;152905.72;0.00;113688.19;0.00;0.00;0.00;0.00
axle;60;1416389104;0.00;362.86;228038.83;0.00;80300.66;0.00;0.00;0.00;0.00
axle;60;1416389164;0.00;365.01;206120.23;0.00;89973.02;0.00;0.00;0.00;0.00
axle;60;1416389224;0.00;122.55;63825.64;0.00;9399.10;0.00;0.00;0.00;0.00
axle;60;1416389284;0.00;76.81;91184.00;0.00;6009.70;0.00;0.00;0.00;0.00
axle;60;1416389344;0.00;29.53;17820.60;0.00;87.80;0.00;0.00;0.00;0.00
axle;60;1416389404;0.13;28.00;75310.82;0.00;2910.52;0.00;0.00;0.00;0.00
axle;60;1416389464;0.00;32.87;88075.26;0.00;4896.42;0.00;0.00;0.00;0.00
