Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

10:10:45 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:11:45 AM     all     21.71      0.00      7.68      0.16      0.00     70.44
10:12:45 AM     all     13.00      0.00      6.09      0.00      0.00     80.91
10:13:45 AM     all      8.07      0.00      5.62      0.01      0.00     86.30
10:14:45 AM     all      7.20      0.00      3.51      0.01      0.00     89.29
10:15:45 AM     all      5.76      0.00      1.01      0.00      0.00     93.23
10:16:45 AM     all      8.48      0.00      2.70      0.00      0.00     88.82
10:17:45 AM     all      5.24      0.00      1.34      0.00      0.00     93.42
10:18:45 AM     all     23.86      0.00      3.04      0.00      0.00     73.10
10:19:45 AM     all     16.79      0.00      0.92      0.00      0.00     82.29
10:20:45 AM     all      6.14      0.00      0.21      0.00      0.00     93.65
10:21:45 AM     all      5.44      0.00      0.48      0.00      0.00     94.08
