# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416388305;0.00;12098.57;241465.02;0.00;332247.01;0.00;0.00;0.00;0.00
axle;60;1416388365;0.00;270.36;241586.24;0.00;208264.90;0.00;0.00;0.00;0.00
axle;60;1416388425;0.00;432.36;185431.36;0.00;151764.25;0.00;0.00;0.00;0.00
axle;60;1416388485;0.00;348.62;102657.69;0.00;99341.09;0.00;0.00;0.00;0.00
axle;60;1416388545;0.13;27.19;4525.92;0.00;30821.60;0.00;0.00;0.00;0.00
axle;60;1416388605;0.00;30.53;3296.44;0.00;42971.38;0.00;0.00;0.00;0.00
axle;60;1416388665;0.00;39.91;12024.04;0.00;24193.76;0.00;0.00;0.00;0.00
axle;60;1416388725;0.00;92.64;67071.63;0.00;34466.04;0.00;0.00;0.00;0.00
axle;60;1416388785;0.00;81.36;321.29;0.00;54245.87;0.00;0.00;0.00;0.00
axle;60;1416388845;0.00;29.26;219.46;0.00;3472.30;0.00;0.00;0.00;0.00
axle;60;1416388905;0.00;17.14;221.26;0.00;9628.25;0.00;0.00;0.00;0.00
